rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R1,R1_n0,main_11.1: The contact information for the Data Processor and the Data Controller is provided in the Main Agreement..,
R2,R2_n0,main_11.1: The contact information for the Data Processor and the Data Controller is provided in the Main Agreement..,
R3,R3_n0,main_9.1: The Data processor Agreement shall remain in force until the Main Agreement is terminated.,
R3,R3_n1,main_10.2: The Data Processor shall continue to process the Personal Data for up to three months after the termination of the Data Processor Agreement to the extent it is necessary and required under the Applicable Law.,
R4,R4_n0,main_4.1: The Data Processor may only act and process the Personal Data in accordance with the documented instruction from the Data Controller (the ”Instruction”). The Instruction at the time of entering into this Data Processor Agreement is that the Data Processor may only process the Personal Data with the purpose of delivering the Main Services as described in the Main Agreement.,
R4,R4_n1,"main_3.1: In connection with the Data Processor’s delivery of the Main Services to the Data Controller, the Data Processor will process certain categories and types of the Data Controller’s personal data on behalf of the Data Controller.",
R5,R5_n0,main_3.2_1: The categories and types of Personal Data processed by the Data Processor on behalf of the Data Controller are listed in sub-appendix A.,
R5,R5_n1,sub_a_1.1_i: Ordinary contact information on relevant employees from the Data Controller.,
R5,R5_n2,"sub_a_1.1_ii: Users of the Main Services: names, telephone numbers, e-mails and user type.",
R5,R5_n3,sub_a_1.1_iii: Personal data provided by the users in connection with their use of the Main Services (these personal data are not seen or accessed by the Data Processor unless the Data Processor after the request hereof from the Data Controller assists with support and bug fixing).,
R6,R6_n0,sub_a_2.1_main: The Data Processor processes Personal Data about the following categories of data subjects on behalf of the Data Controller:,
R6,R6_n1,sub_a_2.1_i: Customers,
R6,R6_n2,sub_a_2.1_ii: End-users,
R10,R10_n0,"main_6.1_main: The Data Processor is given general authorization to engage third-parties to process the Personal Data (“Sub-Processors”) without obtaining any further written, specific authorization from the Data Controller, provided that the Data Processor notifies the Data Controller in writing about the identity of a potential Sub-Processor (and its processors, if any) before any agreements are made with the relevant Sub-Processors and before the relevant Sub-Processor processes any of the Personal Data. If the Data Controller wish to object to the relevant Sub- Processor, the Data Controller shall give notice hereof in writing within seven",
R11,R11_n0,"main_6.1_main: The Data Processor is given general authorization to engage third-parties to process the Personal Data (“Sub-Processors”) without obtaining any further written, specific authorization from the Data Controller, provided that the Data Processor notifies the Data Controller in writing about the identity of a potential Sub-Processor (and its processors, if any) before any agreements are made with the relevant Sub-Processors and before the relevant Sub-Processor processes any of the Personal Data. If the Data Controller wish to object to the relevant Sub- Processor, the Data Controller shall give notice hereof in writing within seven",
R12,R12_n0,main_4.1: The Data Processor may only act and process the Personal Data in accordance with the documented instruction from the Data Controller (the ”Instruction”). The Instruction at the time of entering into this Data Processor Agreement is that the Data Processor may only process the Personal Data with the purpose of delivering the Main Services as described in the Main Agreement.,
