rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R1,7.1_ii,name and contact details of the Controller;,0.5990
R1,7.1_i,the name and contact details of the Processor and any Sub-processors and where applicable their respective representatives and/or data protection officer;,0.5253
R1,5.10,"To notify Controller in the event that a supervisory authority contacts Processor, insofar as permitted by law. 6. Personal Data breach",0.4799
R1,7.1_main,"The Processor shall maintain, in written and electronic form, records of all categories of Processing activities carried out on behalf of the Controller according to the Main Agreement, containing:",0.4522
R1,6.1,Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.,0.4510
R2,7.1_i,the name and contact details of the Processor and any Sub-processors and where applicable their respective representatives and/or data protection officer;,0.5889
R2,7.1_main,"The Processor shall maintain, in written and electronic form, records of all categories of Processing activities carried out on behalf of the Controller according to the Main Agreement, containing:",0.4982
R2,7.1_ii,name and contact details of the Controller;,0.4785
R2,6.1,Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.,0.4738
R2,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.4681
R3,14.5,"Notwithstanding termination of this Agreement according to this clause 14, the Agreement shall be force for as long as the Processor Processes Personal Data on behalf of the Controller for example in respect of the deletion processes described in Appendix 4. 15. Governing Law and amendments",0.5137
R3,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.4953
R3,2.1__1,"The Controller hereby authorises the Processor to Process the Personal Data on behalf of the Controller on the terms and conditions set out in this Agreement. The Processor shall Process the Personal Data only on documented instructions from the Controller. The Parties agree that this Agreement shall constitute the instructions as of the date of the Agreement. The Processor may – unless otherwise specifically is set out in the Agreement – apply all relevant means, including software, servers and IT systems.",0.4944
R3,1.2__3_20,"days will take effect. The grace period is provided, in case the Controller and Processor mutually agree to re-enter into/continue the Agreement. If not, the deletion process will automatically initiate after the expiry of the grace period. Hereafter Controller’s data will be automatically deleted after ninety",0.4926
