rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R5,1.3__1,"‘Personal Data’ shall mean any information Processed by Processor in connection with the provision of the Processors’ Services under this Agreement relating to an identified or identifiable natural person ('Data Subject'); an identifiable person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to his physical, physiological, genetic, mental, economic, cultural or social identity of that person;",
R4,1.4,"‘Processing’ shall mean any operation or set of operations by Processor in connection with the Agreement which is performed upon Personal Data, whether or not by automatic means, such as collection, recording, organization, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction;",
R10,1.5,'Sub-processor' shall mean any processor engaged by the Processor for the Processing of Personal Data on behalf of the Controller.,
R8,1.8,"‘Personal Data Breach’ shall mean a breach of security leading to the accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to, Personal Data transmitted, stored or otherwise Processed;",
R4,1.10_i,"the various online data processing services rendered by Processor pursuant to the Main Agreement, including among others provision of a survey and reporting tool and hosting of Controller's data, including Personal Data and/or",
R12,2.1__1,"The Controller hereby authorises the Processor to Process the Personal Data on behalf of the Controller on the terms and conditions set out in this Agreement. The Processor shall Process the Personal Data only on documented instructions from the Controller. The Parties agree that this Agreement shall constitute the instructions as of the date of the Agreement. The Processor may – unless otherwise specifically is set out in the Agreement – apply all relevant means, including software, servers and IT systems.",
R4,2.3,"The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement. 3. Security measures",
R32,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,
R7,3.2__1,"The details of the security measures taken by Processor in this respect of the Processing of Personal Data, are specified in Appendix 2, which forms an integral part of the Agreement.",
R32,3.3__1,The Parties agree that the technical and organisational measures and level of security set out in Appendix 2 are sufficient to comply with the Processor’s obligations set lout in this clause 3 at the time of the conclusion of this Agreement.,
R16,5.1,to Process the Personal Data in accordance with the security measures set out in Appendix 2;,
