rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R1,main_11.1,The contact information for the Data Processor and the Data Controller is provided in the Main Agreement..,0.5343
R1,sub_a_1.1_i,Ordinary contact information on relevant employees from the Data Controller.,0.5188
R1,main_5.7.2_main,The Data Processor shall have and maintain a register of all Personal Data Breaches. The register shall at a minimum include the following:,0.4676
R1,main_3.3,"The Data Processor shall have and maintain a register of processing activities in accordance with GDPR, article 32 (2).",0.4661
R1,main_5.7.3,The register of Personal Data Breaches shall be provided to the Data Controller in copy if so requested in writing by the Data Controller or the relevant Data Protection Agency.,0.4493
R2,main_11.1,The contact information for the Data Processor and the Data Controller is provided in the Main Agreement..,0.5241
R2,main_3.3,"The Data Processor shall have and maintain a register of processing activities in accordance with GDPR, article 32 (2).",0.5086
R2,main_5.7.2_main,The Data Processor shall have and maintain a register of all Personal Data Breaches. The register shall at a minimum include the following:,0.4973
R2,main_2.1_main,"The Data Processor Agreement shall ensure that the Data Processor complies with the applicable data protection and privacy legislation (the ”Applicable Law”), including in particular:",0.4797
R2,main_1.1,"This agreement re processing of personal data (the ”Data Processor Agreement”) regulates Processor, Company registration no. 25163258 (the ”Data Processor”) processing of personal data on behalf of the customer (the ”Data Controller”) and is attached as appendix A to the Processor subscription agreement (the ”Main Agreement”), in which the parties have agreed the terms for the Data Processor’s delivery of services to the Data Controller (the ”Main Services”). 2. Legislation",0.4777
R3,main_10.2,"The Data Processor shall continue to process the Personal Data for up to three months after the termination of the Data Processor Agreement to the extent it is necessary and required under the Applicable Law. In the same period, the Data Processor is entitled to include the Personal Data in the Data Processor’s backup. The Data Processor’s processing of the Data Controller’s Personal Data in the three months after the termination of this Data Processor Agreement shall be considered as being in accordance with the Instruction.",0.5607
R3,main_3.3,"The Data Processor shall have and maintain a register of processing activities in accordance with GDPR, article 32 (2).",0.5394
R3,main_9.1,The Data processor Agreement shall remain in force until the Main Agreement is terminated. 10. Termination,0.5143
R3,main_5.8.2,The Data Processor’s documentation of compliance shall be provided within reasonable time.,0.5120
R3,main_2.1_main,"The Data Processor Agreement shall ensure that the Data Processor complies with the applicable data protection and privacy legislation (the ”Applicable Law”), including in particular:",0.5085
R4,main_3.3,"The Data Processor shall have and maintain a register of processing activities in accordance with GDPR, article 32 (2).",0.5638
R4,main_2.1_main,"The Data Processor Agreement shall ensure that the Data Processor complies with the applicable data protection and privacy legislation (the ”Applicable Law”), including in particular:",0.5286
R4,main_4.1,The Data Processor may only act and process the Personal Data in accordance with the documented instruction from the Data Controller (the ”Instruction”). The Instruction at the time of entering into this Data Processor Agreement is that the Data Processor may only process the Personal Data with the purpose of delivering the Main Services as described in the Main Agreement.,0.5153
R4,main_5.5.1,"If the Data Processor’s assistance is necessary and relevant, the Data Processor shall assist the Data Controller in preparing data protection impact assessments in accordance with GDPR, article 35, along with any prior consultation in accordance with GDPR, article 36.",0.5011
R4,main_5.7.2_main,The Data Processor shall have and maintain a register of all Personal Data Breaches. The register shall at a minimum include the following:,0.4899
R5,main_3.2_1,(the ”Personal Data”). The categories and types of Personal Data processed by the Data Processor on behalf of the Data Controller are listed in sub-appendix A. The Data Processor only performs processing activities that are necessary and relevant to perform the Main Services. The parties shall update sub-appendix A whenever changes occur that necessitates an update.,0.5483
R5,main_3.3,"The Data Processor shall have and maintain a register of processing activities in accordance with GDPR, article 32 (2).",0.5435
R5,main_2.1_main,"The Data Processor Agreement shall ensure that the Data Processor complies with the applicable data protection and privacy legislation (the ”Applicable Law”), including in particular:",0.5355
R5,main_5.7.2_main,The Data Processor shall have and maintain a register of all Personal Data Breaches. The register shall at a minimum include the following:,0.5352
R5,main_3.2_main,"”Personal data” include “any information relating to an identified or identifiable natural person” as defined in GDPR, article 4",0.5135
R6,sub_a_2.1_main,The Data Processor processes Personal Data about the following categories of data subjects on behalf of the Data Controller:,0.5702
R6,sub_a_1.1_iii,Personal data provided by the users in connection with their use of the Main Services (these personal data are not seen or accessed by the Data Processor unless the Data Processor after the request hereof from the Data Controller assists with support and bug fixing). 2. Categories of data subjects,0.5335
R6,main_3.2_1,(the ”Personal Data”). The categories and types of Personal Data processed by the Data Processor on behalf of the Data Controller are listed in sub-appendix A. The Data Processor only performs processing activities that are necessary and relevant to perform the Main Services. The parties shall update sub-appendix A whenever changes occur that necessitates an update.,0.5263
R6,main_5.6,Rights of the data subjects,0.5190
R6,main_3.3,"The Data Processor shall have and maintain a register of processing activities in accordance with GDPR, article 32 (2).",0.5171
R7,main_5.2.1,"The Data Processor shall implement the appropriate technical and organizational measures as set out in this Agreement and in the Applicable Law, including in accordance with GDPR, article 32.",0.6474
R7,main_5.7.2_iii,"A description of the measures that the Data Processor has taken or proposes to take to address the Personal Data Breach, including, where appropriate, measures taken to mitigate its adverse effects.",0.5681
R7,main_5.4.1,The Data Processor shall provide documentation for the Data Processor’s security measures if requested by the Data Controller in writing.,0.4938
R7,main_3.3,"The Data Processor shall have and maintain a register of processing activities in accordance with GDPR, article 32 (2).",0.4687
R7,main_2.1_main,"The Data Processor Agreement shall ensure that the Data Processor complies with the applicable data protection and privacy legislation (the ”Applicable Law”), including in particular:",0.4649
R8,main_5.7.2_i,"A description of the nature of the Personal Data Breach, including, if possible, the categories and the approximate number of affected Data Subjects and the categories and the approximate number of affected registrations of personal data.",0.6373
R8,main_5.7.2_iii,"A description of the measures that the Data Processor has taken or proposes to take to address the Personal Data Breach, including, where appropriate, measures taken to mitigate its adverse effects.",0.6175
R8,main_5.7.2_main,The Data Processor shall have and maintain a register of all Personal Data Breaches. The register shall at a minimum include the following:,0.6126
R8,main_5.7.2_ii,A description of the likely as well as actually occurred consequences of the Personal Data Breach.,0.5655
R8,main_5.7,Personal Data Breaches,0.5512
R9,main_5.7.2_main,The Data Processor shall have and maintain a register of all Personal Data Breaches. The register shall at a minimum include the following:,0.5249
R9,main_5.5,Data protection impact assessments and prior consultation,0.5214
R9,main_5.5.1,"If the Data Processor’s assistance is necessary and relevant, the Data Processor shall assist the Data Controller in preparing data protection impact assessments in accordance with GDPR, article 35, along with any prior consultation in accordance with GDPR, article 36.",0.5196
R9,main_5.7.2_iii,"A description of the measures that the Data Processor has taken or proposes to take to address the Personal Data Breach, including, where appropriate, measures taken to mitigate its adverse effects.",0.4973
R9,main_3.3,"The Data Processor shall have and maintain a register of processing activities in accordance with GDPR, article 32 (2).",0.4966
R10,main_6.1_main,"The Data Processor is given general authorization to engage third-parties to process the Personal Data (“Sub-Processors”) without obtaining any further written, specific authorization from the Data Controller, provided that the Data Processor notifies the Data Controller in writing about the identity of a potential Sub-Processor (and its processors, if any) before any agreements are made with the relevant Sub-Processors and before the relevant Sub-Processor processes any of the Personal Data. If the Data Controller wish to object to the relevant Sub- Processor, the Data Controller shall give notice hereof in writing within seven",0.7103
R10,main_6.2,"The Data Processor shall conclude a written sub-processor agreement with any Sub-Processors. Such an agreement shall at minimum provide the same data protection obligations as the ones applicable to the Data Processor, including the obligations under this Data Processor Agreement. The Data Processor shall on an ongoing basis monitor and control its Sub- Processors’ compliance with the Applicable Law. Documentation of such monitoring and control shall be provided to the Data Controller if so requested in writing.",0.6192
R10,main_6.3,The Data Processor is accountable to the Data Controller for any Sub-Processor in the same way as for its own actions and omissions.,0.5529
R10,sub_b_1.1_main,The following Sub-Processors shall be considered approved by the data Controller at the time of entering into this Data Processor Agreement:,0.5392
R10,main_5.4,The Data Processor shall also ensure that the Data Processor’s employees working processing the Personal Data only processes the Personal Data in accordance with the Instruction.,0.5354
R11,main_6.1_main,"The Data Processor is given general authorization to engage third-parties to process the Personal Data (“Sub-Processors”) without obtaining any further written, specific authorization from the Data Controller, provided that the Data Processor notifies the Data Controller in writing about the identity of a potential Sub-Processor (and its processors, if any) before any agreements are made with the relevant Sub-Processors and before the relevant Sub-Processor processes any of the Personal Data. If the Data Controller wish to object to the relevant Sub- Processor, the Data Controller shall give notice hereof in writing within seven",0.6647
R11,main_6.2,"The Data Processor shall conclude a written sub-processor agreement with any Sub-Processors. Such an agreement shall at minimum provide the same data protection obligations as the ones applicable to the Data Processor, including the obligations under this Data Processor Agreement. The Data Processor shall on an ongoing basis monitor and control its Sub- Processors’ compliance with the Applicable Law. Documentation of such monitoring and control shall be provided to the Data Controller if so requested in writing.",0.5878
R11,sub_b_2.1_main,The following Sub-Processors have been added and communicated to the Data Controller prior to the relevant sub-processing:,0.5409
R11,main_6.3,The Data Processor is accountable to the Data Controller for any Sub-Processor in the same way as for its own actions and omissions.,0.5298
R11,sub_b_1.1_main,The following Sub-Processors shall be considered approved by the data Controller at the time of entering into this Data Processor Agreement:,0.5197
