rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R1,R1_n0,main_11.1: The contact information for the Data Processor and the Data Controller is provided in the Main Agreement..,
R2,R2_n0,main_11.1: The contact information for the Data Processor and the Data Controller is provided in the Main Agreement..,
R3,R3_n0,main_9.1: The Data processor Agreement shall remain in force until the Main Agreement is terminated.,
R3,R3_n1,main_10.2: The Data Processor shall continue to process the Personal Data for up to three months after the termination of the Data Processor Agreement to the extent it is necessary and required under the Applicable Law.,
R4,R4_n0,main_4.1: The Data Processor may only act and process the Personal Data in accordance with the documented instruction from the Data Controller (the ”Instruction”). The Instruction at the time of entering into this Data Processor Agreement is that the Data Processor may only process the Personal Data with the purpose of delivering the Main Services as described in the Main Agreement.,
R5,R5_n0,main_3.2_1: The categories and types of Personal Data processed by the Data Processor on behalf of the Data Controller are listed in sub-appendix A.,
R5,R5_n1,sub_a_1.1_main: The Data Processor processes the following types of Personal Data in connection with its delivery of the Main Services:,
R6,R6_n0,sub_a_2.1_main: The Data Processor processes Personal Data about the following categories of data subjects on behalf of the Data Controller:,
R7,R7_n0,"main_5.2.1: The Data Processor shall implement the appropriate technical and organizational measures as set out in this Agreement and in the Applicable Law, including in accordance with GDPR, article 32.",
R7,R7_n1,"main_5.1.1: The Data Processor shall treat all the Personal Data as strictly confidential information. The Personal Data may not be copied, transferred or otherwise processed in conflict with the Instruction, unless the Data Controller in writing has agreed hereto.",
R7,R7_n2,main_5.3: The Data Processor shall ensure that access to the Personal Data is restricted to only the employees to whom it is necessary and relevant to process the Personal Data in order for the Data Processor to perform its obligations under the Main Agreement and this Data Processor Agreement.,
R7,R7_n3,main_5.4: The Data Processor shall also ensure that the Data Processor’s employees working processing the Personal Data only processes the Personal Data in accordance with the Instruction.,
R7,R7_n4,main_5.7.2_main: The Data Processor shall have and maintain a register of all Personal Data Breaches. The register shall at a minimum include the following:,
R8,R8_n0,main_5.7.2_main: The Data Processor shall have and maintain a register of all Personal Data Breaches. The register shall at a minimum include the following:,
R8,R8_n1,"main_5.7.2_i: A description of the nature of the Personal Data Breach, including, if possible, the categories and the approximate number of affected Data Subjects and the categories and the approximate number of affected registrations of personal data.",
R8,R8_n2,main_5.7.2_ii: A description of the likely as well as actually occurred consequences of the Personal Data Breach.,
R8,R8_n3,"main_5.7.2_iii: A description of the measures that the Data Processor has taken or proposes to take to address the Personal Data Breach, including, where appropriate, measures taken to mitigate its adverse effects.",
R9,R9_n0,"main_5.5.1: If the Data Processor’s assistance is necessary and relevant, the Data Processor shall assist the Data Controller in preparing data protection impact assessments in accordance with GDPR, article 35, along with any prior consultation in accordance with GDPR, article 36.",
